Jh Th 4c 6c 7h Js 5h, Jh Th 4c 6c 7h 5d Qd, [Th Qh 9c 3c 2h Ts 4h], [Th Qh 9c 3c 2h 4d Ad]
8d 4c 6s Td Tc 6h Qs, 8d 4c 6s Td Tc Qc 6d, [Kd 9c 3s Qd Qc 3h As], [Kd 9c 3s Qd Qc Ac 3d]
Th 2c 7d Jc 2s Jh Tc, Th 2c 7d Jc 2s Jd 5h, [Qh 6c 2d Tc 6s Th Qc], [Qh 6c 2d Tc 6s Td 4h]
3d 6s 6c 3c Qd Ah Ad, 3d 6s 6c 3c Qd Ac Kc, [7d 3s 3c 7c Ad 8h 8d], [7d 3s 3c 7c Ad 8c Jc]
6s Jd 9s 5d 3h Jh 4s, 6s Jd 9s 5d 3h 4c 9c, [3s Td 5s 4d 7h Th 9s], [3s Td 5s 4d 7h 9c 5c]
5c Jd Kc 5s Ad Qs 6s, 5c Jd Kc 5s Ad Tc 8c, [4c Td Jc 4s 8d As 3s], [4c Td Jc 4s 8d Qc Kc]
6s 7c Th 3c Qs Qc 4s, 6s 7c Th 3c Qs Ah 9h, [3s 2c Qh 7c As Ac 9s], [3s 2c Qh 7c As 8h 5h]
9c 9h 2h 6h As Kc 8c, 9c 9h 2h 6h As Ks Th, [5c 5h 6h 3h 8s Jc Kc], [5c 5h 6h 3h 8s Js Qh]
Qc Qs 8s 9h 2d 7d 8d, Qc Qs 8s 9h 2d 9d Ks, [Ac As Ks 5h 6d 2d Kd], [Ac As Ks 5h 6d 5d Js]
2c 6c 3s Js Td Ks Jc, 2c 6c 3s Js Td As Kd, [6c 3c 7s Ts Qd Js Tc], [6c 3c 7s Ts Qd 8s Jd]
5c Tc 2d 7s 8d Qs Js, 5c Tc 2d 7s 8d Ac 6d, [4c Qc 6d 2s Kd As Ts], [4c Qc 6d 2s Kd 8c 3d]
8c 6s Th Js 2c Jc 3s, 8c 6s Th Js 2c 2h Qd, [Kc 3s Qh Ts 6c Tc 7s], [Kc 3s Qh Ts 6c 6h Ad]
Ah Ts 9d 7h 4h 3d 3s, Ah Ts 9d 7h 4h Qs 7c, [8h Qs 5d 2h 9h 7d 7s], [8h Qs 5d 2h 9h As 2c]
5h 6d 3h Qh 4c Kd Kc, 5h 6d 3h Qh 4c 4h Js, [4h 3d 7h Ah 9c Jd Jc], [4h 3d 7h Ah 9c 9h Ts]
Kh 6d 9c 3s 8d Qs 8h, Kh 6d 9c 3s 8d 6c 7c, [Jh 3d 5c 7s Kd As Kh], [Jh 3d 5c 7s Kd 3c 2c]
5s 8s 3c 5d 2d Qd Jc, 5s 8s 3c 5d 2d Kd 6s, [4s Ks 7c 4d 6d Ad Tc], [4s Ks 7c 4d 6d Jd 3s]
2s 9h 7d 7s 6c 8c 2d, 2s 9h 7d 7s 6c Kc 2c, [6s 5h 2d 2s 3c Kc 6d], [6s 5h 2d 2s 3c Jc 6c]
Qs 8d Jd Td 7c Tc Ac, Qs 8d Jd Td 7c 9c 4c, [As Kd Td Qd 2c Qc 8c], [As Kd Td Qd 2c 5c 9c]
7d 2c Jd 2h 8c 3s 3d, 7d 2c Jd 2h 8c Kh 4s, [2d 6c Td 6h Kc 7s 7d], [2d 6c Td 6h Kc Jh 9s]
4c Td 3h 3c 9h Kc 8s, 4c Td 3h 3c 9h Ah 8h, [9c Qd 7h 7c 5h Jc Ks], [9c Qd 7h 7c 5h 8h Kh]
